PROJ_NAME,ZIPCODE,SECTION8,RES_UNITS,ST_NUM,ST_NAME,CITY
x St. Andrew Rd (AOP),2128.0,,3,,St Andrew Rd, Boston
x Stanwood St,2121.0,,12,647.0,Warren St #25, Dorchester
x Stillman St. Conodminium,2113.0,,28,44.0,Prince St, Boston
x Stonley,2130.0,,28,,,
x Stoughton Neighborhood Homes,2125.0,,2,17.0,Stoughton St, Dorchester
x Stratton Street,2124.0,,3,,,
x Summit Aveue,2135.0,,15,,,
x Sumner Street,2128.0,,34,125.0,Sumner St, Boston
x Sumner Street [Clippership Wharf Offsite Affd],2128.0,,30,63.0,Lewis St, East Boston
x SUSSEX (RDP),2120.0,,1,,,
x Sussex Street (RDP),2120.0,,1,,,
x Taber St,2119.0,,45,10.0,Taber St, Boston
x Tafthill Park,2131.0,,19,17.0,Taft Hill Terrace, Boston
x Talbot Ave,2124.0,,14,191.0,Talbot Ave, Boston
x Talbot Ave (REO),2124.0,,4,210.0,Talbot Ave, Boston
x Talbot Avenue,2124.0,,7,450.0,Talbot Ave, Dorchester Center
x Tennis Road,2126.0,,12,,,
x Toledo Terrace,2122.0,,3,1454.0,Dorchester Ave, Dorchester
x Tonawanda St (Johnson VUP),2124.0,,1,,Tonawanda St, Boston
x Topliff St (REO),2122.0,,3,,Topliff St, Boston
x Tremlett Street,2124.0,,2,39.0,W Tremlett St, Boston
x Tremont,2118.0,,4,,,
x Tremont St,2118.0,,7,,,
x Tremont Street,2120.0,,18,1457.0,Tremont St, Boston
x Tremont Street Apartments,2135.0,,62,111.0,Tremont St #109, Brighton
x Truman Parkway,2136.0,,46,792.0,Truman Pkwy, Boston
x Union Ave,2130.0,,59,,Union Ave, Boston
x Verrill St & x 0-x 4 Ballou Ave,2124.0,,18,,Verrill St, Boston
x W Broadway,2127.0,,42,14.0,W Broadway, Boston
x W Broadway [Seaport Square Block M Offsite],2127.0,,16,,W Broadway, Boston
x W Newton St,2118.0,,28,252.0,W Newton St, Boston
x W Park St (AOP),2124.0,,3,1.0,Park St, Boston
x W Second,2127.0,,29,340.0,W 2nd St, Boston
x W Second St,2127.0,,2,340.0,W 2nd St, Boston
x Walk Hill St (Johnson VUP),2126.0,,3,,Walk Hill St, Boston
x Walley St,2128.0,,38,11.0,Walley St, Boston
x Wareham,2118.0,,18,27.0,Wareham St, Boston
x Warren St. Lodging,2121.0,,21,529.0,Chestnut St, Ashland
x Warren Street (1-4),2119.0,,3,1.0,Warren St, Boston
x Warren Supportive Housing Phase 1 - Acquisition,2121.0,,10,,,
x Washington,2132.0,,46,5120.0,Washington St, West Roxbury
x Washington (Archer/Bonell),2119.0,,12,,Washington St, Boston
x Washington [Belvidere/Dalton East Offsites],2119.0,,16,,,
x Washington St,2118.0,,15,1387.0,Washington St, Boston
x Washington St (AOP),2131.0,,26,558.0,Washington St, Boston
x Washington St AB&W Cooperative Building,2121.0,,24,157.0,Washington St, Dorchester
x Washington St Lodging,2124.0,,10,68.0,Welles Ave, Boston
x Washington Street,2131.0,,28,,,
x Washington Street Project,2132.0,,20,1145.0,Washington St, Boston
x Waverly Street,2119.0,,8,72.0,Dale St, Boston
x Wayland St. Dorchester - COB,2125.0,,3,,Wayland St, Boston
"x Wellesley Park, #1",2124.0,,2,1.0,Wellesley Park, Boston
x Wenhan St (RDP),2130.0,,2,,,
x Wentworth St (BuildHome),2124.0,,2,,Wentworth St, Boston
x West 7th St (BRA acq),2127.0,,15,,W Seventh St, Boston
x West 7th Street,2127.0,,25,51.0,W Seventh St, Boston
x West Broadway,2127.0,,49,14.0,W Broadway, Boston
x West Second St Condos,2127.0,,15,340.0,W 2nd St, Boston
x West Walnut Pk.,2119.0,,1,66.0,Walnut Park, Roxbury
x Western Ave,2135.0,,132,446.0,Western Ave, Boston
x Westland Avenue,2115.0,,20,16.0,Westland Ave, Boston
x Westminister Ave,2119.0,,4,,,
x Westminster (AOP),2136.0,,6,,,
x Westmore Rd (BuildHome),2126.0,,2,,Westmore Rd, Boston
x Wheatland Avenue,2124.0,,2,637.0,Washington St, Boston
x Wildwood Street,2124.0,,3,43.0,Freeport St, Boston
x Willow Court,2125.0,,14,131.0,Dale St, Boston
x Winston Rd,2126.0,,6,113.0,Charles St, Boston
x Woodbine (REO),2119.0,,2,,,
x Woodbine Street,2119.0,,2,131.0,Dale St, Boston
x Woodrow Ave (James VUP),2124.0,,2,,Woodrow Ave, Boston
x Woodville,2119.0,,2,131.0,Dale St, Boston
x Woodward St (AOP),2127.0,,15,,Woodward St, Boston
x Wordsworth St (AOP),2128.0,,3,7.0,Wordsworth St, Boston
x x Harrishof St,2121.0,,3,8.0,Allstate Rd, Boston
x Zeigler Street,2119.0,,8,131.0,Zeigler St, Boston
xx A Street,2127.0,,23,39.0,A St, Boston
xx B Street,2127.0,,32,320.0,D St, Boston
xx Blue Hill Ave,2119.0,,2,863.0,Blue Hill Avenue, Boston
xx Bowdoin St,2124.0,,2,230.0,Bowdoin St, Dorchester
xx Chaucer St (AOP),2128.0,,2,,Chaucer St, Boston
xx Chelsea St (AOP),2128.0,,3,411.0,Chelsea St, Boston
xx Coleman Street,2125.0,,1,,Coleman St, Boston
xx Cummins Highway,2126.0,,16,926.0,Cummins Hwy, Mattapan
xx Dorchester Ave,2124.0,,6,2297.0,Dorchester Ave, Boston
xx Dorchester St,2127.0,,30,77.0,Dorchester St, Boston
xx Eustis Street,2119.0,,14,20.0,Eustis St, Roxbury
xx Everett St,2128.0,,3,411.0,Chelsea St, Boston
xx Gladstone St (AOP),2128.0,,3,,Gladstone St, Boston
xx Harrison Ave,2118.0,,84,345.0,Harrison Ave, Boston
xx Huckins St,2119.0,,4,,Huckins St, Boston
xx L Street,2127.0,,13,658.0,E 8th St, Boston
xx Lexington St (1-4 Program),2128.0,,2,1.0,Lexington St, Boston
xx Magnolia St,2125.0,,2,206.0,Magnolia St, Boston
xx Marion St,2128.0,,2,10.0,Corporate Dr, Burlington
xx Market St,2135.0,,17,241.0,Market St, Brighton
xx Maverick St,2128.0,,33,,Maverick St, Boston
xx Maywood Street,2119.0,,2,,,
xx Nelson Street,2124.0,,3,9.0,Peacevale Rd, Boston
xx Old Colony Ave,2127.0,,14,60.0,Old Colony Ave, Boston
xx River Street,2136.0,,3,885.0,River St, Boston
xx Saratoga St (AOP),2128.0,,3,,Saratoga St, Boston
xx Talbot Ave,2124.0,,13,185.0,Talbot Ave, Dorchester
xx Tremont Street,2120.0,,66,1626.0,Tremont St, Boston
xx W Broadway,2127.0,,33,45.0,W Broadway, Boston
xx Washington St,2130.0,,40,3200.0,Washington St, Jamaica Plain
xx Wentworth St (BuildHome),2124.0,,2,,Wentworth St, Boston
xx West Broadway,2127.0,,24,45.0,W Broadway, Boston
xxx A Street,2127.0,,12,,,
xxx Beacon St,2215.0,,45,10.0,Corporate Dr, Burlington
xxx Blue Hill Ave,2119.0,,3,,,
xxx Blue Hill Avenue,2121.0,,3,,Blue Hill Avenue, Boston
xxx Boylston Street,2215.0,,212,,,
xxx Clarkson St (REO),2125.0,,2,,Clarkson St, Boston
xxx Harrison Ave,2118.0,,225,,,
xxx Marion St,2128.0,,2,,,
xxx Saratoga Street,2128.0,,18,,,
xxx Washington St,2130.0,,76,,,
xxx West Broadway,2127.0,,31,,,
xxxx Beacon St,2215.0,,32,,Beacon St, Boston
xxxx Blue Hill Ave,2126.0,,13,,Blue Hill Avenue, Boston
xxxx Blue Hill Avenue,2119.0,,5,,,
xxxx Boylston Street,2116.0,,48,,Boylston St, Boston
xxxx Clarkson St (REO),2125.0,,3,,Clarkson St, Boston
xxxx Saratoga Street,2128.0,Y,6,,Saratoga St, Boston
xxxx Washington St,2130.0,,3,,Washington St, Boston
xxxx West Broadway,2127.0,,3,,W Broadway, Boston
xxxxx Blue Hill Ave,2121.0,,4,456.0,Blue Hill Avenue, Dorchester
xxxxx Clarkson St (REO),2125.0,,3,,,
xxxxx Washington St,2130.0,,21,,Washington St, Boston
xxxxx West Broadway,2127.0,,15,6.0,W Broadway, Boston
xxxxxx Washington St,2124.0,,2,1140.0,Washington St, Dorchester Center
xxxxxx West Broadway,2127.0,,24,420.0,W Broadway, Boston
xxxxxxx Blue Hill Ave,2119.0,,10,388.0,Blue Hill Avenue, Boston
xxxxxxxx Blue Hill Ave,2119.0,,4,491.0,Blue Hill Avenue, Boston
YouthBuild Ruskindale Rd,2136.0,,1,1785.0,Columbus Ave #500, Roxbury
YWCA Berkeley,2116.0,,208,40.0,Berkeley St, Boston
YWCA Boston Units,2116.0,,115,140.0,Clarendon St, Boston
Zebra Condominium,2118.0,,10,1313.0,Washington St, Boston
