,Project Name,Neighborhood,Zip Code,TtlProjUnits,RentUnits,OwnUnits,TtlMarket,MarketRent,MarketOwn,Total Income-Restricted,Income-Restricted Rental,Income-Restricted Ownership,Tenure,Public/ Private,Includes Senior Units?,Section 8,geo_input,address_candidates
1145,x Everett St,East Boston,2128,19,0,19,17.0,0.0,17.0,2,0,2.0,Ownership,Private,,,x Everett St East Boston,"['10 Everett St, Boston, MA 02128, United States']"
1146,x Fairland St (Lee VUP),Roxbury,2119,3,2,1,1.0,0.0,1.0,2,2,0.0,Ownership/Rental,Private,,,x Fairland St (Lee VUP) Roxbury,"['3033 Washington St, Roxbury, MA 02119, United States']"
1147,x Fairmount Ave,Hyde Park,2136,10,0,10,9.0,0.0,9.0,1,0,1.0,Ownership,Private,,,x Fairmount Ave Hyde Park,"['150 Fairmount Ave, Hyde Park, MA 02136, United States']"
1148,x Falcon St (AOP),East Boston,2128,2,2,0,0.0,0.0,0.0,2,2,0.0,Rental,Private,,,x Falcon St (AOP) East Boston,"['10 Gove St, Boston, MA 02128, United States']"
1149,x Fisher Ave,Mission Hill,2120,15,15,0,13.0,13.0,0.0,2,2,0.0,Rental,Private,,,x Fisher Ave Mission Hill,"['120 Fisher Ave, Roxbury, MA 02120, United States']"
1150,x Fort Avenue,Roxbury,2119,13,13,0,0.0,0.0,0.0,13,13,0.0,Rental,Private,,,x Fort Avenue Roxbury,"['22-98 Fort Ave, Boston, MA 02119, United States']"
1151,x Fottler (REMS Land),Mattapan,2126,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,,x Fottler (REMS Land) Mattapan,"['1624 Blue Hill Avenue, Mattapan, MA 02126, United States']"
1152,x Gaston (RDP),Roxbury,2121,1,0,1,0.0,0.0,0.0,1,0,1.0,Ownership,Private,,,x Gaston (RDP) Roxbury,[]
1153,x Gladstone St (AOP),East Boston,2128,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,,x Gladstone St (AOP) East Boston,"['3 Gladstone St, Boston, MA 02128, United States', '177 Gladstone St, Boston, MA 02128, United States']"
1154,x Glendon St (AOP),East Boston,2128,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,,x Glendon St (AOP) East Boston,"['21 Meridian St, Boston, MA 02128, United States', '25 Glendon St, Boston, MA 02128, United States']"
1155,x Glenway St,Dorchester,2121,3,2,1,0.0,0.0,0.0,3,2,1.0,Ownership/Rental,Private,,,x Glenway St Dorchester,"['90 Glenway St, Boston, MA 02121, United States']"
1156,x Glenway Street,Dorchester,2121,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,,x Glenway Street Dorchester,"['90 Glenway St, Boston, MA 02121, United States']"
1157,x Glenway Street (1-4),Dorchester,2121,3,2,1,0.0,0.0,0.0,3,2,1.0,Ownership/Rental,Private,,,x Glenway Street (1-4) Dorchester,"['171 Geneva Ave, Boston, MA 02121, United States']"
1158,x Gordon Avenue,Hyde Park,2136,2,0,2,0.0,0.0,0.0,2,0,2.0,Ownership,Private,,,x Gordon Avenue Hyde Park,"['11 Gordon Ave, Hyde Park, MA 02136, United States']"
1159,x Green Street,Jamaica Plain,2130,21,0,21,18.0,0.0,18.0,3,0,3.0,Ownership,Private,,,x Green Street Jamaica Plain,"['150 Green St, Boston, MA 02130, United States']"
1160,x Greenbrier St (BuildHome),Dorchester,2124,2,1,1,1.0,1.0,0.0,1,0,1.0,Ownership/Rental,Private,,,x Greenbrier St (BuildHome) Dorchester,"['Greenbrier St, Boston, MA 02124, USA']"
1161,x Greenwich Park*,South End,2118,5,5,0,0.0,0.0,0.0,5,5,0.0,Rental,Private,,,x Greenwich Park* South End,"['11 Tods Driftway, Old Greenwich, CT 06870, United States']"
1162,x H Street,South Boston,2127,11,0,11,10.0,0.0,10.0,1,0,1.0,Ownership,Private,,,x H Street South Boston,"['120 H St, Boston, MA 02127, United States']"
1163,x Hancock,Dorchester,2125,36,36,0,15.0,15.0,0.0,21,21,0.0,Rental,Private,,,x Hancock Dorchester,"['6 Hancock St, Boston, MA 02125, United States']"
1164,x Hanover St,North End,2113,16,16,0,15.0,15.0,0.0,1,1,0.0,Rental,Private,,,x Hanover St North End,"['355 Hanover St, Boston, MA 02113, United States']"
1165,x Harold Street,Roxbury,2119,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,,x Harold Street Roxbury,"['208 Harold St, Boston, MA 02121, United States']"
1166,x Harrison Ave,South End,2118,585,585,0,527.0,527.0,0.0,58,58,0.0,Rental,Private,,,x Harrison Ave South End,"['345 Harrison Ave, Boston, MA 02118, United States']"
1167,x Harrison Ave Condos,South End,2118,39,0,39,36.0,0.0,36.0,3,0,3.0,Ownership,Private,,,x Harrison Ave Condos South End,"['380 Harrison Ave, Boston, MA 02118, United States']"
1168,x Harrison Avenue,South End,2118,4,0,4,3.0,0.0,3.0,1,0,1.0,Ownership/Rental,Private,,,x Harrison Avenue South End,"['345 Harrison Ave, Boston, MA 02118, United States']"
1169,x Harvard Street,Dorchester,2124,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,,x Harvard Street Dorchester,"['632 Blue Hill Avenue, Dorchester, MA 02121, United States']"
1170,x Hawthorne Pl,West End,2114,480,0,480,479.0,0.0,479.0,1,0,1.0,Ownership/Rental,Private,,,x Hawthorne Pl West End,"['2 Hawthorne Pl, Boston, MA 02114, United States', '78 Hawthorne Pl, Boston, MA 02114, United States']"
1171,x Hawthorne Street,Roxbury,2119,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,,x Hawthorne Street Roxbury,"['9 Fulda St, Boston, MA 02119, United States']"
1172,x Hemenway,Fenway,2115,15,15,0,0.0,0.0,0.0,15,15,0.0,Rental,Private,,,x Hemenway Fenway,"['95 Westland Ave, Boston, MA 02115, United States']"
1173,x Hemenway Coop,Fenway,2115,24,24,0,11.0,11.0,0.0,13,13,0.0,Cooperative,Private,,,x Hemenway Coop Fenway,"['25 Hemenway St, Boston, MA 02115, United States']"
1174,x Hendry St (REO),Dorchester,2122,3,2,1,0.0,0.0,0.0,3,2,1.0,Ownership/Rental,Private,,,x Hendry St (REO) Dorchester,"['10 Hendry St, Dorchester, MA 02122, United States']"
1175,x Hichborn St,Brighton,2135,23,0,23,20.0,0.0,20.0,3,3,0.0,Rental,Private,,,x Hichborn St Brighton,"['26 Hichborn St, Brighton, MA 02135, United States']"
1176,x Highland St E+,Roxbury,2119,4,0,4,3.0,0.0,3.0,1,0,1.0,Ownership,Private,,,x Highland St E+ Roxbury,"['1 Highland St, Roxbury, MA 02119, United States']"
1177,x Highland Street,Roxbury,2119,5,0,5,4.0,0.0,4.0,1,0,1.0,Ownership,Private,,,x Highland Street Roxbury,"['1 Highland St, Roxbury, MA 02119, United States']"
1178,x Holborn Terrace,Roxbury,2121,8,8,0,0.0,0.0,0.0,8,8,0.0,Rental,Private,,,x Holborn Terrace Roxbury,"['40 Holborn St, Boston, MA 02121, United States']"
1179,x Hollander Street,Roxbury,2121,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,,x Hollander Street Roxbury,"['55 Hollander St, Roxbury, MA 02119, United States']"
1180,x Homes Ave Development,Dorchester,2122,1,0,1,0.0,0.0,0.0,1,0,1.0,Ownership,Private,,,x Homes Ave Development Dorchester,"['587 Washington St, Dorchester Center, MA 02124, United States']"
1181,x Hosmer St (Lee VUP),Mattapan,2126,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,x Hosmer St (Lee VUP) Mattapan,"['1411 Tremont St, Boston, MA 02120, United States']"
1182,x House (SPO),Dorchester,2122,12,12,0,0.0,0.0,0.0,12,12,0.0,Rental,Private,,,x House (SPO) Dorchester,"['1353 Dorchester Ave, Dorchester, MA 02122, United States']"
1183,x Howard Ave,Roxbury,2125,3,2,1,0.0,0.0,0.0,3,2,1.0,Ownership/Rental,Private,,,x Howard Ave Roxbury,"['Boston, MA 02125, United States']"
1184,x Huckins St,Roxbury,2119,4,4,0,0.0,0.0,0.0,4,4,0.0,Cooperative,Private,,,x Huckins St Roxbury,"['72 Dale St, Boston, MA 02119, United States']"
1185,x Hudson St (AOP),Chinatown,2111,4,0,4,0.0,0.0,0.0,4,0,4.0,Ownership,Private,,,x Hudson St (AOP) Chinatown,"['13 Hudson St, Boston, MA 02111, United States']"
1186,x Humboldt Avenue,Roxbury,2121,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,,x Humboldt Avenue Roxbury,"['198 Humboldt Ave, Dorchester, MA 02121, United States']"
1187,x Humboldt Avenue-202,Roxbury,2121,12,12,0,0.0,0.0,0.0,12,12,0.0,Rental,Private,?,,x Humboldt Avenue-202 Roxbury,"['199 Humboldt Ave, Boston, MA 02121, United States']"
1188,x Humphreys Place (AOP),Dorchester,2125,6,6,0,0.0,0.0,0.0,6,6,0.0,Rental,Private,,,x Humphreys Place (AOP) Dorchester,"['Humphreys Pl, Boston, MA 02125, USA']"
1189,x Huntington Avenue,Mission Hill,2120,37,37,0,0.0,0.0,0.0,37,37,0.0,Rental,Private,,,x Huntington Avenue Mission Hill,"['812 Huntington Ave, Boston, MA 02115, United States']"
1190,x Hutchings Street,Roxbury,2121,1,0,1,0.0,0.0,0.0,1,0,1.0,Ownership,Private,,,x Hutchings Street Roxbury,"['72 Dale St, Boston, MA 02119, United States']"
1191,x Hyde Park Ave,Roslindale,2131,8,0,8,0.0,0.0,0.0,8,0,8.0,Ownership,Private,,,x Hyde Park Ave Roslindale,"['450 Hyde Park Ave, Roslindale, MA 02131, United States']"
1192,x Hyde Park Avenue,Roslindale,2136,2,2,0,0.0,0.0,0.0,2,2,0.0,Rental,Private,,,x Hyde Park Avenue Roslindale,"['450 Hyde Park Ave, Roslindale, MA 02131, United States']"
1193,x Intervale St (RDP),Roxbury,2121,1,0,1,0.0,0.0,0.0,1,0,1.0,Ownership,Private,,,x Intervale St (RDP) Roxbury,"['Intervale St, Boston, MA 02121, USA']"
1194,x Itasca Street,Mattapan,2126,1,0,1,0.0,0.0,0.0,1,0,1.0,Ownership,Private,,,x Itasca Street Mattapan,[]
1195,x Juniper Street,Roxbury,2119,4,3,1,1.0,1.0,0.0,3,2,1.0,Ownership/Rental,Private,,,x Juniper Street Roxbury,"['72 Dale St, Boston, MA 02119, United States']"
1196,x Kingsdale St,Dorchester,2124,3,1,2,1.0,0.0,1.0,2,1,1.0,Ownership/Rental,Private,,,x Kingsdale St Dorchester,"['71 Kingsdale St, Dorchester Center, MA 02124, United States']"
1197,x L Street,South Boston,2127,30,30,0,26.0,26.0,0.0,4,4,0.0,Rental,Private,,,x L Street South Boston,"['108 L St, South Boston, MA 02127, United States']"
1198,x Landor Road,Mattapan,2126,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,,x Landor Road Mattapan,"['1480 Blue Hill Avenue, Boston, MA 02126, United States']"
1199,x Lawnwood Place Project,Charlestown,2129,9,0,9,5.0,0.0,5.0,4,0,4.0,Ownership,Private,,,x Lawnwood Place Project Charlestown,"['14 Green St, Charlestown, MA 02129, United States']"
1200,x Lawrence Avenue,Dorchester,2121,3,2,1,0.0,0.0,0.0,3,2,1.0,Ownership/Rental,Private,,,x Lawrence Avenue Dorchester,"['43 Freeport St, Boston, MA 02122, United States']"
1201,x Leighton Rd Foreclosed Home Sale,Hyde Park,2136,1,0,1,0.0,0.0,0.0,1,0,1.0,Ownership,Private,,,x Leighton Rd Foreclosed Home Sale Hyde Park,"['9 Fairmount Ave, Hyde Park, MA 02136, United States']"
1202,x Leroy St (AOP),Dorchester,2122,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,,x Leroy St (AOP) Dorchester,"['1931 Dorchester Ave, Dorchester, MA 02124, United States']"
1203,x Levant St,Dorchester,2122,3,2,1,0.0,0.0,0.0,3,2,1.0,Ownership/Rental,Private,,,x Levant St Dorchester,"['422 Geneva Ave, Boston, MA 02122, United States']"
1204,x Lexington Ave (AOP),Hyde Park,2136,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,,x Lexington Ave (AOP) Hyde Park,"['570 Lexington Ave #44, New York, NY 10022, United States']"
1205,x Lexington St (1-4 Program),East Boston,2128,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,,x Lexington St (1-4 Program) East Boston,"['1 Lexington St, Boston, MA 02128, USA']"
1206,x Lexington/92-94 Putnam (1-4),East Boston,2128,4,0,4,0.0,0.0,0.0,4,0,4.0,Ownership,Private,,,x Lexington/92-94 Putnam (1-4) East Boston,[]
1207,x Leyden St (AOP),East Boston,2128,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,,x Leyden St (AOP) East Boston,"['Boston, MA 02128, United States', '195 Leyden St, Boston, MA 02128, United States']"
1208,x Lorne Street,Dorchester,2124,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,,x Lorne Street Dorchester,"['43 Freeport St, Boston, MA 02122, United States']"
1209,x Magnolia St,Dorchester,2121,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,,x Magnolia St Dorchester,"['206 Magnolia St, Boston, MA 02121, United States']"
1210,x Magnolia St (RDP),Dorchester,2125,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,,x Magnolia St (RDP) Dorchester,"['206 Magnolia St, Boston, MA 02121, United States']"
1211,x Mallon Road,Dorchester,2121,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,,x Mallon Road Dorchester,"['43 Freeport St, Boston, MA 02122, United States']"
1212,x Malvern St,Allston,2134,48,48,0,42.0,42.0,0.0,6,6,0.0,Rental,Private,,,x Malvern St Allston,"['40 Malvern St, Boston, MA 02134, United States']"
1213,x Manor St (RDP),Dorchester,2122,1,0,1,0.0,0.0,0.0,1,0,1.0,Ownership,Private,,,x Manor St (RDP) Dorchester,[]
1214,x Marion Place,East Boston,2128,1,0,1,0.0,0.0,0.0,1,1,0.0,Ownership,Private,,,x Marion Place East Boston,"['127 Marion St, Boston, MA 02128, United States']"
1215,x Marion St,East Boston,2128,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,,x Marion St East Boston,"['127 Marion St, Boston, MA 02128, United States']"
1216,x Market St,Brighton,2135,29,0,29,25.0,0.0,25.0,4,0,4.0,Ownership,Private,,,x Market St Brighton,"['207 Market St, Brighton, MA 02135, United States']"
1217,x Market Street,Brighton,2135,39,39,0,34.0,34.0,0.0,5,5,0.0,Rental,Private,,,x Market Street Brighton,"['207 Market St, Brighton, MA 02135, United States']"
1218,x Mass. Ave. (BCLT),Roxbury,2118,18,18,0,0.0,0.0,0.0,18,18,0.0,Rental,Private,,,x Mass. Ave. (BCLT) Roxbury,"['72 Dale St, Boston, MA 02119, United States']"
1219,x Massachusetts Ave,Dorchester,2125,40,40,0,35.0,35.0,0.0,5,5,0.0,Rental,Private,,,x Massachusetts Ave Dorchester,"['43 Freeport St, Boston, MA 02122, United States']"
1220,x Massachusetts Avenue,South End,2118,10,0,10,8.0,0.0,8.0,2,0,2.0,Ownership,Private,,,x Massachusetts Avenue South End,"['666 Massachusetts Ave, Boston, MA 02118, United States']"
1221,x Maverick St,East Boston,2128,37,0,37,32.0,0.0,32.0,5,0,5.0,Ownership,Private,,,x Maverick St East Boston,"['Maverick St, Boston, MA 02128, United States']"
1222,x Maverick St (AOP),East Boston,2128,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,,x Maverick St (AOP) East Boston,"['20 Maverick Square, Boston, MA 02128, United States']"
1223,x Maywood Street,Roxbury,2119,3,2,1,1.0,0.0,1.0,2,2,0.0,Ownership/Rental,Private,,,x Maywood Street Roxbury,"['131 Dale St, Boston, MA 02119, United States']"
1224,x McBride St,Jamaica Plain,2130,11,11,0,10.0,10.0,0.0,1,1,0.0,Rental,Private,,,x McBride St Jamaica Plain,"['141 McBride St, Jamaica Plain, MA 02130, United States']"
1225,x Medford St,Charlestown,2129,3,0,3,0.0,0.0,0.0,3,0,3.0,Ownership,Private,,,x Medford St Charlestown,"['305 Medford St, Boston, MA 02129, United States']"
1226,x Metropolitan Ave,Hyde Park,2136,6,6,0,0.0,0.0,0.0,6,6,0.0,Rental,Private,,,x Metropolitan Ave Hyde Park,"['680 Metropolitan Ave, Hyde Park, MA 02136, United States']"
1227,x Milton Street,Dorchester,2124,1,0,1,0.0,0.0,0.0,1,0,1.0,Ownership,Private,,,x Milton Street Dorchester,"['1454 Dorchester Ave, Dorchester, MA 02122, United States']"
1228,x Minden St,Jamaica Plain,2130,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,,x Minden St Jamaica Plain,"['91 Minden St, Jamaica Plain, MA 02130, United States']"
1229,x Minden Street,Jamaica Plain,2130,2,2,0,0.0,0.0,0.0,2,2,0.0,Rental,Private,,,x Minden Street Jamaica Plain,"['91 Minden St, Jamaica Plain, MA 02130, United States']"
1230,x Miner Street,Fenway,2215,49,49,0,43.0,43.0,0.0,6,6,0.0,Rental,Private,,,x Miner Street Fenway,"['9 Miner St, Boston, MA 02215, United States', '1 Miner St, Boston, MA 02215, United States']"
1231,x Monsignor Way,Dorchester,2124,6,6,0,0.0,0.0,0.0,6,6,0.0,Rental,Private,,,x Monsignor Way Dorchester,"['1454 Dorchester Ave, Dorchester, MA 02122, United States']"
1232,x Morris Street (AOP),East Boston,2128,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,,x Morris Street (AOP) East Boston,"['10 Gove St, Boston, MA 02128, United States']"
1233,x Morse Street,Dorchester,2121,6,6,0,0.0,0.0,0.0,6,6,0.0,Rental,Private,,,x Morse Street Dorchester,"['647 Warren St #25, Dorchester, MA 02121, United States']"
1234,x Mount Everett NHI,Dorchester,2125,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,,x Mount Everett NHI Dorchester,"['Mt Everett St, Boston, MA 02125, USA']"
1235,x Mountfort St,Fenway,2215,37,37,0,33.0,33.0,0.0,4,4,0.0,Rental,Private,,,x Mountfort St Fenway,"['120 Mountfort St, Boston, MA 02215, United States']"
1236,x Mt. Pleasant Ave SRO,Roxbury,2119,20,20,0,0.0,0.0,0.0,20,20,0.0,Rental,Private,,,x Mt. Pleasant Ave SRO Roxbury,"['28 Mt Pleasant Ave, Boston, MA 02119, United States']"
1237,x Mt. Pleasant Avenue,Roxbury,2119,8,8,0,0.0,0.0,0.0,8,8,0.0,Rental,Private,,,x Mt. Pleasant Avenue Roxbury,"['28 Mt Pleasant Ave, Boston, MA 02119, United States']"
1238,x Murray Ave,Roxbury,2119,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,,x Murray Ave Roxbury,"['must call for appointment, 39 Smith St, Boston, MA 02120, United States']"
1239,x Murray Ave (1-4),Roxbury,2119,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,,x Murray Ave (1-4) Roxbury,"['4 Murray Ave #1, Boston, MA 02119, USA']"
1240,x N Beacon,Allston,2134,30,30,0,26.0,26.0,0.0,4,4,0.0,Rental,Private,,,x N Beacon Allston,"['15 N Beacon St, Allston, MA 02134, United States']"
1241,x N Beacon St (Condo Phase),Brighton,2135,9,0,9,8.0,0.0,8.0,1,0,1.0,Ownership,Private,,,x N Beacon St (Condo Phase) Brighton,"['15 N Beacon St, Allston, MA 02134, United States']"
1242,x N Beacon St (Rental Phase),Allston,2134,72,72,0,63.0,63.0,0.0,9,9,0.0,Rental,Private,,,x N Beacon St (Rental Phase) Allston,"['15 N Beacon St, Allston, MA 02134, United States']"
1243,x N Beacon St Mixed Use Development,Allston,2134,20,20,0,17.0,17.0,0.0,3,3,0.0,Rental,Private,,,x N Beacon St Mixed Use Development Allston,"['15 N Beacon St, Allston, MA 02134, United States']"
1244,x Nelson Street,Dorchester,2124,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,,x Nelson Street Dorchester,"['43 Freeport St, Boston, MA 02122, United States']"
1245,x Neponset Ave,Dorchester,2122,22,22,0,19.0,19.0,0.0,3,3,0.0,Rental,Private,,,x Neponset Ave Dorchester,"['320 Neponset Ave, Dorchester, MA 02122, United States']"
1246,x Newbury - Virgin Records,Back Bay,2115,54,0,54,49.0,0.0,49.0,5,0,5.0,Ownership,Private,,,x Newbury - Virgin Records Back Bay,"['360 Newbury St, Boston, MA 02115, United States', '360 Newbury St, Boston, MA 02115, United States']"
1247,x Nightingale Street,Dorchester,2124,3,2,1,0.0,0.0,0.0,3,2,1.0,Ownership/Rental,Private,,,x Nightingale Street Dorchester,"['101 Nightingale St, Boston, MA 02124, United States']"
1248,x Norfolk Street (RDP),Dorchester,2124,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,,x Norfolk Street (RDP) Dorchester,"['140 Norfolk St, Dorchester, MA 02124, United States']"
1249,x North Ave/YouthBuild,Roxbury,2119,1,1,0,0.0,0.0,0.0,1,1,0.0,Rental,Private,,,x North Ave/YouthBuild Roxbury,"['27 Centre St, Boston, MA 02119, United States']"
1250,x Northampton Apts,Roxbury,2118,9,9,0,0.0,0.0,0.0,9,9,0.0,Rental,Private,,,x Northampton Apts Roxbury,"['35 Northampton St, Boston, MA 02118, United States']"
1251,x Norwell St - YouthBuild,Dorchester,2121,1,0,1,0.0,0.0,0.0,1,0,1.0,Ownership,Private,,,x Norwell St - YouthBuild Dorchester,"['1785 Columbus Ave #500, Roxbury, MA 02119, United States']"
1252,x Norwell Street (REO/Private Acquisition),Dorchester,2121,1,0,1,0.0,0.0,0.0,1,0,1.0,Ownership,Private,,,x Norwell Street (REO/Private Acquisition) Dorchester,"['168-170 Norwell St, Boston, MA 02125, United States']"
1253,x Oak Street (AOP),Chinatown,2111,3,0,3,0.0,0.0,0.0,3,0,3.0,Ownership,Private,,,x Oak Street (AOP) Chinatown,"['38 Oak St, Boston, MA 02111, United States']"
1254,x Old Colony,South Boston,2127,24,0,24,21.0,0.0,21.0,3,0,3.0,Ownership,Private,,,x Old Colony South Boston,"['20 Rev Burke St, Boston, MA 02127, United States']"
1255,x Old Colony Ave,South Boston,2127,49,49,0,41.0,41.0,0.0,8,8,0.0,Rental,Private,,,x Old Colony Ave South Boston,"['200 Old Colony Ave, Boston, MA 02127, United States']"
1256,x Orleans Street,East Boston,2128,14,0,14,12.0,0.0,12.0,2,0,2.0,Ownership,Private,,,x Orleans Street East Boston,"['151 Orleans St, Boston, MA 02128, United States']"
1257,x Otisfield St (BuildHome),Roxbury,2121,1,0,1,0.0,0.0,0.0,1,0,1.0,Ownership,Private,,,x Otisfield St (BuildHome) Roxbury,"['9-15 Otisfield St, Boston, MA 02121, United States']"
1258,x Page St (James VUP),Dorchester,2121,2,2,0,0.0,0.0,0.0,2,2,0.0,Rental,Private,,,x Page St (James VUP) Dorchester,"['1135 Dorchester Ave, Dorchester, MA 02125, United States', 'Boston, MA 02130, United States']"
1259,x Park Drive,Fenway,2215,21,0,21,18.0,0.0,18.0,3,0,3.0,Ownership,Private,,,x Park Drive Fenway,"['231-235 Park Dr, Boston, MA 02215, United States']"
1260,x Park St,Dorchester,2122,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,,x Park St Dorchester,"['613 Park St, Dorchester, MA 02124, United States']"
1261,x Park St Lodging House,Dorchester,2122,16,16,0,0.0,0.0,0.0,16,16,0.0,Rental,Private,,,x Park St Lodging House Dorchester,"['Park St, Boston, MA, USA']"
1262,x Park St/YouthBuild,Dorchester,2124,1,0,1,0.0,0.0,0.0,1,0,1.0,Ownership,Private,,,x Park St/YouthBuild Dorchester,"['27 Centre St, Boston, MA 02119, United States']"
1263,x Parker Hill Ave,Mission Hill,2120,40,40,0,34.0,34.0,0.0,6,6,0.0,Rental,Private,,,x Parker Hill Ave Mission Hill,"['170 Parker Hill Ave, Boston, MA 02120, United States']"
1264,x Peacevale Rd,Dorchester,2124,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,,x Peacevale Rd Dorchester,"['9 Peacevale Rd, Boston, MA 02124, United States']"
1265,x Peterborough,Fenway,2215,20,20,0,17.0,17.0,0.0,3,3,0.0,Rental,Private,,,x Peterborough Fenway,"['75 Peterborough St, Boston, MA 02215, United States']"
1266,x Peterborough Street,Fenway,2215,11,11,0,10.0,10.0,0.0,1,1,0.0,Rental,Private,,,x Peterborough Street Fenway,"['72 Peterborough St, Boston, MA 02215, United States']"
1267,x Pier 4,South Boston Waterfront,2110,369,369,0,337.0,337.0,0.0,32,32,0.0,Rental,Private,,,x Pier 4 South Boston Waterfront,"['100 Pier 4 Blvd. #2218, Boston, MA 02210, United States']"
1268,x Pleasant St,Dorchester,2125,17,0,17,15.0,0.0,15.0,2,0,2.0,Ownership,Private,,,x Pleasant St Dorchester,"['54 Pleasant St, Boston, MA 02125, United States']"
1269,x Prescott Street,East Boston,2128,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,,x Prescott Street East Boston,"['235 Prescott St, Boston, MA 02128, United States']"
1270,x Prince St Catholic Church Property,North End,2113,57,0,57,51.0,0.0,51.0,6,0,6.0,Ownership,Private,,,x Prince St Catholic Church Property North End,"['320 Hanover St, Boston, MA 02113, United States']"
1271,x Princeton St (AOP),East Boston,2128,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,,x Princeton St (AOP) East Boston,"['321 Princeton St, Boston, MA 02128, United States']"
1272,x Princeton Street (1-4),East Boston,2128,3,0,3,0.0,0.0,0.0,3,0,3.0,Ownership,Private,,,x Princeton Street (1-4) East Boston,"['223 1/2 Princeton St, Boston, MA 02128, USA']"
1273,x Puritan Ave,Dorchester,2121,1,0,1,0.0,0.0,0.0,1,0,1.0,Ownership,Private,,,x Puritan Ave Dorchester,"['43 Freeport St, Boston, MA 02122, United States']"
1274,x Putnam St (AOP),East Boston,2128,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,,x Putnam St (AOP) East Boston,"['196 Putnam St, Boston, MA 02128, United States']"
1275,x Quincy St (REO),Roxbury,2125,3,2,1,0.0,0.0,0.0,3,2,1.0,Ownership/Rental,Private,,,x Quincy St (REO) Roxbury,"['253 Quincy St, Boston, MA 02121, United States']"
1276,x Quincy Street,Dorchester,2122,3,2,1,1.0,0.0,1.0,2,2,0.0,Ownership/Rental,Private,,,x Quincy Street Dorchester,"['236 Quincy St, Dorchester, MA 02121, United States']"
1277,x Quincy Street (1-4),Roxbury,2121,3,0,3,0.0,0.0,0.0,3,0,3.0,Ownership,Private,,,x Quincy Street (1-4) Roxbury,"['1 Quincy St, Boston, MA 02121, USA']"
1278,x Ridgewood St. (REO),Dorchester,2122,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,,x Ridgewood St. (REO) Dorchester,"['Ridgewood St, Boston, MA 02122, USA']"
1279,x Rill St (BuildHome),Dorchester,2125,2,1,1,1.0,1.0,0.0,1,0,1.0,Ownership/Rental,Private,,,x Rill St (BuildHome) Dorchester,"['Rill St, Boston, MA 02125, USA']"
1280,x River St,Hyde Park,2136,32,32,0,28.0,28.0,0.0,4,4,0.0,Rental,Private,,,x River St Hyde Park,"['853 River St, Hyde Park, MA 02136, United States']"
1281,x River St (AOP),Mattapan,2126,27,27,0,0.0,0.0,0.0,27,27,0.0,Rental,Private,,,x River St (AOP) Mattapan,"['79 River St, Mattapan, MA 02126, United States']"
1282,x River Street,Mattapan,2126,3,2,1,0.0,0.0,0.0,3,2,1.0,Ownership/Rental,Private,,,x River Street Mattapan,"['79 River St, Mattapan, MA 02126, United States']"
